,transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
0,1997,Ronaldo,FC Barcelona,LaLiga,Inter,Serie A,25000000.0,-1,Forward,1976,21
1,1997,Rivaldo,Dep. La Coruña,LaLiga,FC Barcelona,LaLiga,21000000.0,-1,Midfielder,1972,25
2,1997,Sonny Anderson,Monaco,Ligue 1,FC Barcelona,LaLiga,16000000.0,-1,Forward,1970,27
3,1997,Christian Vieri,Juventus,Serie A,Atlético Madrid,LaLiga,15000000.0,-1,Forward,1973,24
4,1997,Christian Karembeu,Sampdoria,Serie A,Real Madrid,LaLiga,11000000.0,-1,Midfielder,1971,26
5,1997,Ibrahim Bá,G. Bordeaux,Ligue 1,Milan,Serie A,10000000.0,-1,Midfield,1974,23
6,1997,Roberto Ríos,Real Betis,LaLiga,Athletic,LaLiga,10000000.0,-1,Defender,1971,26
7,1997,Filippo Inzaghi,Atalanta,Serie A,Juventus,Serie A,10000000.0,-1,Forward,1973,24
8,1997,Stan Collymore,Liverpool,Premier League,Aston Villa,Premier League,9000000.0,-1,Forward,1971,26
9,1997,Graeme Le Saux,Blackburn,Premier League,Chelsea,Premier League,9000000.0,-1,Defender,1969,28
10,1997,Les Ferdinand,Newcastle,Premier League,Spurs,Premier League,8000000.0,-1,Forward,1967,30
11,1997,Leonardo,Paris SG,Ligue 1,Milan,Serie A,7000000.0,-1,Midfielder,1969,28
12,1997,Gary Speed,Everton,Premier League,Newcastle,Premier League,7000000.0,-1,Midfield,1978,19
13,1997,Michael Reiziger,Milan,Serie A,FC Barcelona,LaLiga,7000000.0,-1,Defender,1973,24
14,1997,Edgar Davids,Milan,Serie A,Juventus,Serie A,7000000.0,-1,Midfielder,1973,24
15,1997,Domenico Morfeo,Atalanta,Serie A,Fiorentina,Serie A,6000000.0,-1,Midfielder,1976,21
16,1997,Paulo Sousa,Bor. Dortmund,Bundesliga,Inter,Serie A,6000000.0,-1,Midfielder,1970,27
18,1997,Ludovic Giuly,Olympique Lyon,Ligue 1,Monaco,Ligue 1,6000000.0,-1,Defender,1976,21
21,1997,Henning Berg,Blackburn,Premier League,Man Utd,Premier League,6000000.0,-1,Defender,1969,28
22,1997,Florian Maurice,Olympique Lyon,Ligue 1,Paris SG,Ligue 1,6000000.0,-1,Forward,1974,23
23,1997,Giovane Elber,VfB Stuttgart,Bundesliga,Bayern Munich ,Bundesliga,5000000.0,-1,Forward,1972,25
24,1997,Alessandro Pistone,Inter,Serie A,Newcastle,Premier League,5000000.0,-1,Defender,1975,22
25,1997,Paul Ince,Inter,Serie A,Liverpool,Premier League,5000000.0,-1,Midfielder,1968,29
26,1997,Aitor Karanka,Athletic,LaLiga,Real Madrid,LaLiga,5000000.0,-1,Defender,1973,24
28,1997,Zé Elias,Bay. Leverkusen,Bundesliga,Inter,Serie A,5000000.0,-1,Midfielder,1976,21
29,1997,Christophe Dugarry,FC Barcelona,LaLiga,Marseille,Ligue 1,4000000.0,-1,Forward,1972,25
30,1997,Teddy Sheringham,Spurs,Premier League,Man Utd,Premier League,4000000.0,-1,Forward,1966,31
31,1997,Öyvind Leonhardsen,Wimbledon FC,Premier League,Liverpool,Premier League,4000000.0,-1,Midfielder,1970,27
32,1997,Fabio Pecchia,SSC Napoli,Serie A,Juventus,Serie A,4000000.0,-1,Midfield,1973,24
33,1997,Christian Ziege,Bayern Munich ,Bundesliga,Milan,Serie A,4000000.0,-1,Midfield,1972,25
34,1997,Jesper Blomqvist,Milan,Serie A,AC Parma,Serie A,4000000.0,-1,Midfield,1974,23
37,1997,David Hopkin,Crystal Palace,Premier League,Leeds,Premier League,4000000.0,-1,Midfield,1970,27
38,1997,Manuel Canabal,CP Mérida,LaLiga,Real Madrid,LaLiga,4000000.0,-1,Forward,1975,22
39,1997,Daniel Fonseca,AS Roma,Serie A,Juventus,Serie A,4000000.0,-1,Forward,1969,28
40,1997,Bixente Lizarazu,Athletic,LaLiga,Bayern Munich ,Bundesliga,4000000.0,-1,Defender,1970,27
41,1997,Gheorghe Popescu,FC Barcelona,LaLiga,Galatasaray,Süper Lig,4000000.0,-1,Defender,1968,29
43,1997,Iván Helguera,AS Roma,Serie A,Espanyol,LaLiga,4000000.0,-1,Defender,1975,22
44,1997,Andy Hinchcliffe,Everton,Premier League,Sheff Wed,Premier League,4000000.0,-1,Defender,1969,28
45,1997,Moussa Saïb,AJ Auxerre,Ligue 1,Valencia,LaLiga,3000000.0,-1,Midfield,1969,28
46,1997,Andreas Andersson,Milan,Serie A,Newcastle,Premier League,3000000.0,-1,Forward,1974,23
47,1997,Mauro Milanese,AC Parma,Serie A,Inter,Serie A,3000000.0,-1,Defender,1971,26
48,1997,Benoît Cauet,Paris SG,Ligue 1,Inter,Serie A,3000000.0,-1,Midfielder,1969,28
49,1997,Christophe Dugarry,Milan,Serie A,FC Barcelona,LaLiga,3000000.0,-1,Forward,1972,25
50,1997,Vladimir Jugovic,Juventus,Serie A,Lazio,Serie A,3000000.0,-1,Midfield,1969,28
51,1997,Roberto Mancini,Sampdoria,Serie A,Lazio,Serie A,3000000.0,-1,Forward,1965,32
53,1997,Amedeo Carboni,AS Roma,Serie A,Valencia,LaLiga,3000000.0,-1,Defender,1965,32
55,1997,Valérien Ismaël,R. Strasbourg,Ligue 1,Crystal Palace,Premier League,3000000.0,-1,Defender,1975,22
56,1997,Gilles Grimandi,Monaco,Ligue 1,Arsenal,Premier League,3000000.0,-1,Midfielder,1971,26
58,1997,Emmanuel Petit,Monaco,Ligue 1,Arsenal,Premier League,3000000.0,-1,Midfielder,1970,27
59,1997,Winston Bogarde,Milan,Serie A,FC Barcelona,LaLiga,3000000.0,-1,Defender,1971,26
60,1997,Ian Pearce,Blackburn,Premier League,West Ham,Premier League,3000000.0,-1,Defender,1974,23
61,1997,Jonathan Akpoborie,Hansa Rostock,Bundesliga,VfB Stuttgart,Bundesliga,3000000.0,-1,Forward,1969,28
62,1997,Paulo Sérgio,Bay. Leverkusen,Bundesliga,AS Roma,Serie A,3000000.0,-1,Forward,1969,28
64,1997,Amaral,AC Parma,Serie A,Benfica,Liga NOS,3000000.0,-1,Midfielder,1973,24
65,1997,César Gómez,CD Tenerife,LaLiga,AS Roma,Serie A,3000000.0,-1,Defender,1968,29
66,1997,Robbie Elliott,Newcastle,Premier League,Bolton,Premier League,3000000.0,-1,Defender,1974,23
68,1997,Ciriaco Sforza,Inter,Serie A,1.FC K'lautern,Bundesliga,2000000.0,-1,Midfielder,1970,27
72,1997,Taribo West,AJ Auxerre,Ligue 1,Inter,Serie A,2000000.0,-1,Defender,1974,23
73,1997,Martin Dahlin,AS Roma,Serie A,Blackburn,Premier League,2000000.0,-1,Forward,1968,29
74,1997,André Cruz,SSC Napoli,Serie A,Milan,Serie A,2000000.0,-1,Defender,1968,29
75,1997,David Ginola,Newcastle,Premier League,Spurs,Premier League,2000000.0,-1,Forward,1967,30
76,1997,Alessandro Birindelli,FC Empoli,Serie A,Juventus,Serie A,2000000.0,-1,Defender,1975,22
80,1997,Moussa Saïb,Valencia,LaLiga,Spurs,Premier League,2000000.0,-1,Midfield,1969,28
81,1997,Marco Di Vaio,Lazio,Serie A,Salernitana,Serie B,2000000.0,-1,Forward,1976,21
82,1997,Thorsten Fink,Karlsruher SC,Bundesliga,Bayern Munich ,Bundesliga,2000000.0,-1,Midfielder,1968,29
83,1997,Laurent Blanc,FC Barcelona,LaLiga,Marseille,Ligue 1,2000000.0,-1,Defender,1966,31
84,1997,Cyril Domoraud,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2000000.0,-1,Defender,1971,26
86,1997,Michael Tarnat,Karlsruher SC,Bundesliga,Bayern Munich ,Bundesliga,2000000.0,-1,Defender,1970,27
89,1997,Mark Kennedy,Liverpool,Premier League,Wimbledon FC,Premier League,2000000.0,-1,Defender,1976,21
90,1997,Mark Fish,Lazio,Serie A,Bolton,Premier League,2000000.0,-1,Defender,1974,23
91,1997,Sunday Oliseh,1. FC Köln,Bundesliga,Ajax,PTT Telecomp.,2000000.0,-1,Midfielder,1974,23
94,1997,Shay Given,Blackburn,Premier League,Newcastle,Premier League,2000000.0,-1,Goalkeeper,1976,21
95,1997,Danny Granville,Chelsea,Premier League,Leeds,Premier League,1000000.0,-1,Defender,1975,22
96,1997,Martin Hiden,Rapid Vienna,Bundesliga,Leeds,Premier League,1000000.0,-1,Defender,1973,24
97,1997,Anthony Yeboah,Leeds,Premier League,Hamburger SV,Bundesliga,1000000.0,-1,Forward,1966,31
99,1997,Luigi Sartor,Vicenza,Serie A,Inter,Serie A,1000000.0,-1,Defender,1975,22
101,1997,Christophe Revault,AC Le Havre,Ligue 1,Paris SG,Ligue 1,1000000.0,-1,Goalkeeper,1972,25
102,1997,Michael Hughes,West Ham,Premier League,Wimbledon FC,Premier League,1000000.0,-1,Midfielder,1971,26
103,1997,Michele Padovano,Juventus,Serie A,Crystal Palace,Premier League,1000000.0,-1,Forward,1966,31
104,1997,Jim Magilton,Southampton,Premier League,Sheff Wed,Premier League,1000000.0,-1,Midfield,1969,28
105,1997,Ashley Ward,Derby,Premier League,Barnsley FC,Premier League,1000000.0,-1,Forward,1971,26
106,1997,Oliver Neuville,CD Tenerife,LaLiga,Hansa Rostock,Bundesliga,1000000.0,-1,Forward,1973,24
107,1997,Ángel Cuéllar,FC Barcelona,LaLiga,Real Betis,LaLiga,1000000.0,-1,Forward,1972,25
108,1997,Patrick Blondeau,Sheff Wed,Premier League,G. Bordeaux,Ligue 1,1000000.0,-1,Defender,1968,29
109,1997,Roberto Baggio,Milan,Serie A,Bologna,Serie A,1000000.0,-1,Forward,1967,30
117,1997,Rodolfo Cardoso,Werder Bremen,Bundesliga,Hamburger SV,Bundesliga,1000000.0,-1,Midfielder,1969,28
118,1997,Francesco Colonnese,AS Roma,Serie A,Inter,Serie A,1000000.0,-1,Defender,1971,26
124,1997,Sasa Curcic,Aston Villa,Premier League,Crystal Palace,Premier League,1000000.0,-1,Midfielder,1972,25
125,1997,Xabier Eskurza,Valencia,LaLiga,Real Oviedo,LaLiga,1000000.0,-1,Midfielder,1970,27
126,1997,Alexander Manninger,Grazer AK,Bundesliga,Arsenal,Premier League,1000000.0,-1,Goalkeeper,1977,20
128,1997,Stefan Beinlich,Hansa Rostock,Bundesliga,Bay. Leverkusen,Bundesliga,1000000.0,-1,Midfielder,1972,25
129,1997,Carlton Palmer,Leeds,Premier League,Southampton,Premier League,1000000.0,-1,Midfielder,1966,31
134,1997,Jocelyn Angloma,Inter,Serie A,Valencia,LaLiga,1000000.0,-1,Defender,1965,32
136,1997,Andreas Neuendorf,Bay. Leverkusen,Bundesliga,Hertha BSC,Bundesliga,990000.0,-1,Midfielder,1975,22
138,1997,Gareth Farrelly,Aston Villa,Premier League,Everton,Premier League,945000.0,-1,Midfield,1975,22
146,1997,Marco Simone,Milan,Serie A,Paris SG,Ligue 1,900000.0,-1,Forward,1969,28
148,1997,John Filan,Coventry,Premier League,Blackburn,Premier League,900000.0,-1,Goalkeeper,1970,27
149,1997,Iván Campo,Valencia,LaLiga,RCD Mallorca,LaLiga,900000.0,-1,Midfielder,1974,23
152,1997,Kjetil Rekdal,Stade Rennais,Ligue 1,Hertha BSC,Bundesliga,810000.0,-1,Midfielder,1969,28
153,1997,Radoslaw Gilewicz,VfB Stuttgart,Bundesliga,Karlsruher SC,Bundesliga,810000.0,-1,Forward,1971,26
154,1997,Alfred Nijhuis,MSV Duisburg,Bundesliga,Urawa Reds,J1 - 2nd Stage,788000.0,-1,Defender,1966,31
155,1997,Giorgio Lucenti,AS Roma,Serie A,FC Empoli,Serie A,720000.0,-1,Defender,1975,22
158,1997,Renato Buso,Lazio,Serie A,Piacenza,Serie A,698000.0,-1,Midfield,1970,27
159,1997,Juan Sabas,Real Betis,LaLiga,CP Mérida,LaLiga,676000.0,-1,Forward,1967,30
160,1997,Dirk Schuster,Karlsruher SC,Bundesliga,1. FC Köln,Bundesliga,675000.0,-1,Defender,1968,29
161,1997,Claudio Reyna,Bay. Leverkusen,Bundesliga,VfL Wolfsburg,Bundesliga,675000.0,-1,Midfielder,1973,24
163,1997,Mike Whitlow,Leicester,Premier League,Bolton,Premier League,675000.0,-1,Defender,1968,29
166,1997,Claus Thomsen,Everton,Premier League,Akademisk BK,Faxe Kondi Liga,630000.0,-1,Defender,1970,27
168,1997,Massimo Taibi,Piacenza,Serie A,Milan,Serie A,585000.0,-1,Goalkeeper,1970,27
170,1997,Mauro Milanese,SSC Napoli,Serie A,AC Parma,Serie A,540000.0,-1,Defender,1971,26
175,1997,Piotr Nowak,1860 Munich,Bundesliga,Chicago Fire,MLS,486000.0,-1,Midfielder,1964,33
182,1997,Maurizio Ganz,Inter,Serie A,Milan,Serie A,450000.0,-1,Forward,1969,28
183,1997,Andreas Buck,VfB Stuttgart,Bundesliga,1.FC K'lautern,Bundesliga,405000.0,-1,Midfield,1968,29
186,1997,Michael Molata,Arm. Bielefeld,Bundesliga,Hamburger SV,Bundesliga,360000.0,-1,Defender,1973,24
187,1997,Ned Zelic,AJ Auxerre,Ligue 1,1860 Munich,Bundesliga,360000.0,-1,Midfielder,1971,26
191,1997,Morten Pedersen,Bor. M'gladbach,Bundesliga,Rosenborg,Tippeligaen,360000.0,-1,Defender,1972,25
193,1997,Giuseppe Signori,Lazio,Serie A,Sampdoria,Serie A,360000.0,-1,Forward,1968,29
196,1997,Lars Leese,Bay. Leverkusen,Bundesliga,Barnsley FC,Premier League,338000.0,-1,Goalkeeper,1969,28
197,1997,Samassi Abou,Cannes,Ligue 1,West Ham,Premier League,338000.0,-1,Forward,1973,24
198,1997,Sébastien Fournier,VfB Stuttgart,Bundesliga,Servette FC,Nationalliga A,315000.0,-1,Midfielder,1971,26
201,1997,Kazimierz Wegrzyn,SV Ried,Bundesliga,Wisla Kraków,I Liga,293000.0,-1,Defender,1967,30
202,1997,David Nielsen,F. Düsseldorf,Bundesliga,FC Copenhagen,Faxe Kondi Liga,293000.0,-1,Forward,1977,20
211,1997,Hendrik Herzog,VfB Stuttgart,Bundesliga,Hertha BSC,Bundesliga,225000.0,-1,Defender,1969,28
215,1998,Christian Vieri,Atlético Madrid,LaLiga,Lazio,Serie A,25000000.0,-1,Forward,1973,25
216,1998,Nicola Ventola,Bari,Serie A,Inter,Serie A,18000000.0,-1,Forward,1978,20
217,1998,Patrick Kluivert,Milan,Serie A,FC Barcelona,LaLiga,18000000.0,-1,Forward,1976,22
218,1998,Dwight Yorke,Aston Villa,Premier League,Man Utd,Premier League,17000000.0,-1,Forward,1972,26
219,1998,Juan Sebastián Verón,Sampdoria,Serie A,AC Parma,Serie A,15000000.0,-1,Midfielder,1975,23
222,1998,Sinisa Mihajlovic,Sampdoria,Serie A,Lazio,Serie A,15000000.0,-1,Defender,1969,29
223,1998,Iván De La Peña,FC Barcelona,LaLiga,Lazio,Serie A,13000000.0,-1,Midfielder,1976,22
225,1998,Jörg Heinrich,Bor. Dortmund,Bundesliga,Fiorentina,Serie A,11000000.0,-1,Defender,1970,28
226,1998,Oliver Bierhoff,Udinese,Serie A,Milan,Serie A,11000000.0,-1,Forward,1968,30
227,1998,Thierry Henry,Monaco,Ligue 1,Juventus,Serie A,11000000.0,-1,Forward,1977,21
230,1998,Kevin Davies,Southampton,Premier League,Blackburn,Premier League,10000000.0,-1,Forward,1977,21
231,1998,John Hartson,West Ham,Premier League,Wimbledon FC,Premier League,10000000.0,-1,Forward,1975,23
232,1998,Duncan Ferguson,Everton,Premier League,Newcastle,Premier League,9000000.0,-1,Forward,1972,26
235,1998,Dion Dublin,Coventry,Premier League,Aston Villa,Premier League,7000000.0,-1,Forward,1969,29
236,1998,Thomas Helveg,Udinese,Serie A,Milan,Serie A,7000000.0,-1,Defender,1971,27
237,1998,Steve Stone,Nottm Forest,Premier League,Aston Villa,Premier League,7000000.0,-1,Midfield,1971,27
239,1998,Christian Dailly,Derby,Premier League,Blackburn,Premier League,7000000.0,-1,Defender,1974,24
240,1998,Pierluigi Casiraghi,Lazio,Serie A,Chelsea,Premier League,6000000.0,-1,Forward,1969,29
244,1998,Dietmar Hamann,Bayern Munich ,Bundesliga,Newcastle,Premier League,6000000.0,-1,Midfielder,1973,25
245,1998,Vikash Dhorasoo,AC Le Havre,Ligue 1,Olympique Lyon,Ligue 1,6000000.0,-1,Midfielder,1974,24
247,1998,Zé Roberto,Real Madrid,LaLiga,Bay. Leverkusen,Bundesliga,6000000.0,-1,Midfield,1974,24
248,1998,Mikaël Silvestre,Stade Rennais,Ligue 1,Inter,Serie A,6000000.0,-1,Defender,1977,21
250,1998,Jesper Blomqvist,AC Parma,Serie A,Man Utd,Premier League,6000000.0,-1,Midfield,1974,24
251,1998,Faustino Asprilla,Newcastle,Premier League,AC Parma,Serie A,6000000.0,-1,Forward,1970,28
252,1998,Ibrahima Bakayoko,Montpellier,Ligue 1,Everton,Premier League,6000000.0,-1,Forward,1977,21
253,1998,Marcel Desailly,Milan,Serie A,Chelsea,Premier League,6000000.0,-1,Defender,1968,30
255,1998,Jocelyn Blanchard,FC Metz,Ligue 1,Juventus,Serie A,5000000.0,-1,Midfielder,1972,26
256,1998,Émerson,Middlesbrough,Premier League,CD Tenerife,LaLiga,5000000.0,-1,Midfielder,1972,26
257,1998,David Batty,Newcastle,Premier League,Leeds,Premier League,5000000.0,-1,Midfielder,1969,29
258,1998,Nwankwo Kanu,Inter,Serie A,Arsenal,Premier League,5000000.0,-1,Forward,1976,22
259,1998,Juan Esnáider,Espanyol,LaLiga,Juventus,Serie A,5000000.0,-1,Forward,1973,25
260,1998,Olivier Dacourt,R. Strasbourg,Ligue 1,Everton,Premier League,5000000.0,-1,Midfielder,1974,24
261,1998,Marc-Vivien Foé,Lens,Ligue 1,West Ham,Premier League,5000000.0,-1,Midfielder,1992,6
262,1998,Tim Sherwood,Blackburn,Premier League,Spurs,Premier League,5000000.0,-1,Midfielder,1969,29
263,1998,Diego Fuser,Lazio,Serie A,AC Parma,Serie A,5000000.0,-1,Midfield,1969,29
264,1998,Florian Maurice,Paris SG,Ligue 1,Marseille,Ligue 1,5000000.0,-1,Forward,1974,24
266,1998,José Chamot,Lazio,Serie A,Atlético Madrid,LaLiga,5000000.0,-1,Defender,1969,29
267,1998,Michele Serena,Fiorentina,Serie A,Atlético Madrid,LaLiga,5000000.0,-1,Defender,1970,28
269,1998,Paul Merson,Middlesbrough,Premier League,Aston Villa,Premier League,5000000.0,-1,Midfield,1968,30
270,1998,Steve Watson,Newcastle,Premier League,Aston Villa,Premier League,5000000.0,-1,Midfield,1974,24
271,1998,Nicolas Ouédec,Espanyol,LaLiga,Paris SG,Ligue 1,5000000.0,-1,Forward,1972,26
272,1998,Didier Domi,Paris SG,Ligue 1,Newcastle,Premier League,5000000.0,-1,Defender,1978,20
273,1998,Jason McAteer,Liverpool,Premier League,Blackburn,Premier League,5000000.0,-1,Midfield,1971,27
275,1998,Vladimir Jugovic,Lazio,Serie A,Atlético Madrid,LaLiga,4000000.0,-1,Midfield,1969,29
277,1998,Stéphane Ziani,Lens,Ligue 1,Dep. La Coruña,LaLiga,4000000.0,-1,Midfielder,1972,26
278,1998,Alessandro Grandoni,Lazio,Serie A,Sampdoria,Serie A,4000000.0,-1,Defender,1977,21
279,1998,David Unsworth,Aston Villa,Premier League,Everton,Premier League,4000000.0,-1,Defender,1974,24
280,1998,David Unsworth,West Ham,Premier League,Aston Villa,Premier League,4000000.0,-1,Defender,1974,24
283,1998,Jens Lehmann,FC Schalke 04,Bundesliga,Milan,Serie A,3000000.0,-1,Goalkeeper,1970,28
284,1998,Albert Ferrer,FC Barcelona,LaLiga,Chelsea,Premier League,3000000.0,-1,Defender,1970,28
285,1998,Stefan Effenberg,Bor. M'gladbach,Bundesliga,Bayern Munich ,Bundesliga,3000000.0,-1,Midfielder,1968,30
286,1998,Bachirou Salou,MSV Duisburg,Bundesliga,Bor. Dortmund,Bundesliga,3000000.0,-1,Forward,1970,28
287,1998,Viorel Moldovan,Coventry,Premier League,Fenerbahce,Süper Lig,3000000.0,-1,Forward,1972,26
289,1998,Jens Lehmann,Milan,Serie A,Bor. Dortmund,Bundesliga,3000000.0,-1,Goalkeeper,1970,28
290,1998,Murat Yakin,VfB Stuttgart,Bundesliga,Fenerbahce,Süper Lig,3000000.0,-1,Defender,1974,24
292,1998,Kevin Campbell,Nottm Forest,Premier League,Trabzonspor,Süper Lig,3000000.0,-1,Forward,1970,28
294,1998,Stéphane Guivarc'h,AJ Auxerre,Ligue 1,Newcastle,Premier League,3000000.0,-1,Forward,1970,28
296,1998,Romero,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,3000000.0,-1,Defender,1971,27
298,1998,Colin Cooper,Nottm Forest,Premier League,Middlesbrough,Premier League,3000000.0,-1,Defender,1967,31
299,1998,John Collins,Monaco,Ligue 1,Everton,Premier League,3000000.0,-1,Midfield,1968,30
300,1998,Sébastien Pérez,SC Bastia,Ligue 1,Blackburn,Premier League,3000000.0,-1,Defender,1974,24
301,1998,Stefan Schwarz,Fiorentina,Serie A,Valencia,LaLiga,3000000.0,-1,Midfielder,1969,29
302,1998,Pascal Nouma,R. Strasbourg,Ligue 1,Lens,Ligue 1,3000000.0,-1,Forward,1972,26
304,1998,Keith Gillespie,Newcastle,Premier League,Blackburn,Premier League,3000000.0,-1,Midfield,1975,23
307,1998,Fernando Couto,FC Barcelona,LaLiga,Lazio,Serie A,3000000.0,-1,Defender,1969,29
308,1998,Hervé Alicarte,Montpellier,Ligue 1,G. Bordeaux,Ligue 1,2000000.0,-1,Defender,1974,24
309,1998,Jon Dahl Tomasson,Newcastle,Premier League,Feyenoord,PTT Telecomp.,2000000.0,-1,Forward,1976,22
310,1998,Andy Impey,West Ham,Premier League,Leicester,Premier League,2000000.0,-1,Midfielder,1971,27
311,1998,Juan Antonio Pizzi,FC Barcelona,LaLiga,River Plate,Torneo Inicial,2000000.0,-1,Forward,1968,30
312,1998,Frank Sinclair,Chelsea,Premier League,Leicester,Premier League,2000000.0,-1,Defender,1972,26
313,1998,Marco Materazzi,Perugia,Serie A,Everton,Premier League,2000000.0,-1,Defender,1973,25
314,1998,Iván Campo,RCD Mallorca,LaLiga,Real Madrid,LaLiga,2000000.0,-1,Midfielder,1974,24
315,1998,Ángel Morales,Sampdoria,Serie A,Racing Club,Torneo Inicial,2000000.0,-1,Midfielder,1975,23
316,1998,Kaba Diawara,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000000.0,-1,Forward,1976,22
318,1998,Igor Shalimov,Bologna,Serie A,SSC Napoli,Serie B,2000000.0,-1,Midfielder,1969,29
319,1998,Karel Poborsky,Man Utd,Premier League,Benfica,Liga NOS,2000000.0,-1,Midfield,1972,26
321,1998,Gary Pallister,Man Utd,Premier League,Middlesbrough,Premier League,2000000.0,-1,Defender,1965,33
327,1998,Dariusz Wosz,VfL Bochum,Bundesliga,Hertha BSC,Bundesliga,2000000.0,-1,Midfielder,1969,29
328,1998,Ariel Ortega,Valencia,LaLiga,Sampdoria,Serie A,2000000.0,-1,Midfielder,1974,24
332,1998,Dani García,Real Madrid,LaLiga,RCD Mallorca,LaLiga,2000000.0,-1,Forward,1975,23
334,1998,Stuart Ripley,Blackburn,Premier League,Southampton,Premier League,2000000.0,-1,Midfielder,1968,30
335,1998,Paolo Di Canio,Sheff Wed,Premier League,West Ham,Premier League,2000000.0,-1,Forward,1968,30
339,1998,Fernando Cáceres,Valencia,LaLiga,Celta de Vigo,LaLiga,1000000.0,-1,Defender,1969,29
340,1998,José Amavisca,Real Madrid,LaLiga,Racing,LaLiga,1000000.0,-1,Midfield,1971,27
341,1998,Adaílton,AC Parma,Serie A,Paris SG,Ligue 1,1000000.0,-1,Forward,1977,21
345,1998,Roberto Baggio,Bologna,Serie A,Inter,Serie A,1000000.0,-1,Forward,1967,31
348,1998,Pavel Kuka,1.FC K'lautern,Bundesliga,1.FC Nuremberg,Bundesliga,1000000.0,-1,Forward,1968,30
350,1998,Ousmane Dabo,Stade Rennais,Ligue 1,Inter,Serie A,1000000.0,-1,Midfielder,1977,21
352,1998,Sabri Lamouchi,AJ Auxerre,Ligue 1,Monaco,Ligue 1,1000000.0,-1,Midfielder,1972,26
353,1998,Geir Frigard,LASK,Bundesliga,TeBe Berlin,2. Bundesliga,1000000.0,-1,Forward,1971,27
354,1998,Markus Feldhoff,Bay. Leverkusen,Bundesliga,Bor. M'gladbach,Bundesliga,1000000.0,-1,Forward,1974,24
355,1998,Rade Bogdanovic,Atlético Madrid,LaLiga,Werder Bremen,Bundesliga,1000000.0,-1,Forward,1970,28
356,1998,Carlton Palmer,Southampton,Premier League,Nottm Forest,Premier League,1000000.0,-1,Midfielder,1966,32
358,1998,Andrzej Juskowiak,Bor. M'gladbach,Bundesliga,VfL Wolfsburg,Bundesliga,1000000.0,-1,Forward,1971,27
359,1998,Chris Powell,Derby,Premier League,Charlton,Premier League,1000000.0,-1,Defender,1969,29
364,1998,Hany Ramzy,Werder Bremen,Bundesliga,1.FC K'lautern,Bundesliga,1000000.0,-1,Defender,1969,29
365,1998,Nélson,Aston Villa,Premier League,FC Porto,Liga NOS,1000000.0,-1,Defender,1972,26
366,1998,Sergej Barbarez,Hansa Rostock,Bundesliga,Bor. Dortmund,Bundesliga,990000.0,-1,Forward,1971,27
367,1998,Brian Laudrup,Chelsea,Premier League,FC Copenhagen,Faxe Kondi Liga,990000.0,-1,Defender,1969,29
373,1998,Georgi Donkov,VfL Bochum,Bundesliga,1. FC Köln,2. Bundesliga,900000.0,-1,Forward,1970,28
374,1998,Luigi Sala,Bari,Serie A,Milan,Serie A,900000.0,-1,Defender,1974,24
378,1998,Spencer Prior,Leicester,Premier League,Derby,Premier League,900000.0,-1,Defender,1971,27
382,1998,Michél Dinzey,Hertha BSC,Bundesliga,1860 Munich,Bundesliga,900000.0,-1,Midfield,1973,25
383,1998,Federico Magallanes,Real Madrid,LaLiga,Racing,LaLiga,900000.0,-1,Forward,1976,22
385,1998,Garry Brady,Spurs,Premier League,Newcastle,Premier League,878000.0,-1,Midfielder,1976,22
388,1998,Mark Hughes,Chelsea,Premier League,Southampton,Premier League,810000.0,-1,Forward,1964,34
389,1998,Ronnie O´Brien,Middlesbrough,Premier League,Juventus,Serie A,810000.0,-1,Midfielder,1979,19
392,1998,Carl Tiler,Everton,Premier League,Charlton,Premier League,787000.0,-1,Defender,1970,28
393,1998,Markus Münch,Bayern Munich ,Bundesliga,Genoa,Serie B,783000.0,-1,Defender,1972,26
394,1998,Laurent Charvet,Chelsea,Premier League,Newcastle,Premier League,765000.0,-1,Defender,1973,25
395,1998,Zoran Mamic,VfL Bochum,Bundesliga,Bay. Leverkusen,Bundesliga,720000.0,-1,Defender,1971,27
397,1998,Ahmed Hassan,Ismaily,Premier League,Kocaelispor,Süper Lig,720000.0,-1,Midfielder,1975,23
399,1998,Matthias Hagner,VfB Stuttgart,Bundesliga,Bor. M'gladbach,Bundesliga,675000.0,-1,Midfield,1974,24
401,1998,Igor Pamic,Hansa Rostock,Bundesliga,Grazer AK,Bundesliga,675000.0,-1,Forward,1970,28
402,1998,Ian Wright,Arsenal,Premier League,West Ham,Premier League,675000.0,-1,Forward,1964,34
405,1998,Mikkel Beck,Middlesbrough,Premier League,Derby,Premier League,630000.0,-1,Forward,1973,25
406,1998,Oliver Reck,Werder Bremen,Bundesliga,FC Schalke 04,Bundesliga,630000.0,-1,Goalkeeper,1965,33
409,1998,Samir Kamouna,El Ahly,Premier League,1.FC K'lautern,Bundesliga,540000.0,-1,Defender,1972,26
415,1998,Mohamed Emara,El Ahly,Premier League,Hansa Rostock,Bundesliga,450000.0,-1,Defender,1974,24
